Genes,,,,,,
Accession,Start,Stop,Gene symbol,Strand,NCBI Gene ID,Name
NZ_CP097881.1,93649,94683,waaH,plus,,
NZ_CP097881.1,94670,95629,yibQ,minus,,
NZ_CP097881.1,95633,96892,envC,minus,,
NZ_CP097881.1,96926,98470,gpmM,minus,,
NZ_CP097881.1,98715,99146,yibN,plus,,
NZ_CP097881.1,99288,99539,grxC,plus,,
NZ_CP097881.1,99602,100069,secB,plus,,
NZ_CP097881.1,100069,101088,gpsA,plus,,
NZ_CP097881.1,101168,101989,cysE,plus,,
NZ_CP097881.1,102042,102515,trmL,minus,,
NZ_CP097881.1,102713,103903,lldD,minus,,
NZ_CP097881.1,103900,104676,lldR,minus,,
NZ_CP097881.1,104676,106331,lldP,minus,,
NZ_CP097881.1,106703,107065,yibL,minus,,
NZ_CP097881.1,107350,107559,yibT,plus,,
NZ_CP097881.1,107571,108158,mtlR,minus,,
NZ_CP097881.1,108158,109306,mtlD,minus,,
NZ_CP097881.1,109536,111449,mtlA,minus,,
NZ_CP097881.1,111986,112348,yibI,plus,,
NZ_CP097881.1,112351,113487,yibH,plus,,
NZ_CP097881.1,113947,114468,,minus,,
NZ_CP097881.1,114840,115058,,minus,,
NZ_CP097881.1,115092,115553,yibG,minus,,
NZ_CP097881.1,115565,116521,,minus,,
NZ_CP097881.1,116551,117393,yibA,minus,,
NZ_CP097881.1,117414,121547,,minus,,
NZ_CP097881.1,121775,122383,yibF,plus,,
NZ_CP097881.1,122481,123872,selA,plus,,
NZ_CP097881.1,123869,125713,selB,plus,,
NZ_CP097881.1,125903,127054,yiaY,plus,,
NZ_CP097881.1,127219,128757,aldB,plus,,
NZ_CP097881.1,128976,129119,,minus,,
NZ_CP097881.1,129302,129625,yiaW,plus,,
NZ_CP097881.1,129631,130767,yiaV,plus,,
NZ_CP097881.1,130764,131738,yiaU,minus,,
NZ_CP097881.1,131862,132602,yiaT,plus,,
NZ_CP097881.1,132624,132812,,minus,,
NZ_CP097881.1,132816,132917,,plus,,
NZ_CP097881.1,132949,133644,araD,minus,,
NZ_CP097881.1,133638,134498,sgbU,minus,,
NZ_CP097881.1,134491,135153,ulaD,minus,,
NZ_CP097881.1,135150,136646,lyxK,minus,,
NZ_CP097881.1,136650,137636,yiaO,minus,,
NZ_CP097881.1,137649,138926,yiaN,minus,,
NZ_CP097881.1,138929,139402,yiaM,minus,,
NZ_CP097881.1,139520,139987,yiaL,minus,,
NZ_CP097881.1,139999,140997,yiaK,minus,,
NZ_CP097881.1,141198,142046,yiaJ,plus,,
NZ_CP097881.1,142148,142621,ysaA,plus,,
NZ_CP097881.1,142772,144025,avtA,minus,,
NZ_CP097881.1,144203,146233,malS,minus,,
NZ_CP097881.1,146553,147377,bax,plus,,
NZ_CP097881.1,147573,148751,xylR,minus,,
NZ_CP097881.1,148829,150010,xylH,minus,,
NZ_CP097881.1,149988,151529,xylG,minus,,
NZ_CP097881.1,151607,152599,xylF,minus,,
NZ_CP097881.1,152965,154287,xylA,plus,,
NZ_CP097881.1,154359,155813,xylB,plus,,
NZ_CP097881.1,155982,156323,yiaB,plus,,
NZ_CP097881.1,156369,156806,yiaA,plus,,
NZ_CP097881.1,156848,157843,wecH,minus,,
NZ_CP097881.1,158018,158317,ysaB,plus,,
NZ_CP097881.1,158412,159323,glyQ,plus,,
NZ_CP097881.1,159333,161402,glyS,plus,,
NZ_CP097881.1,161681,163050,,minus,,
NZ_CP097881.1,163130,163282,hokA,plus,,
NZ_CP097881.1,163259,163330,ysaE,minus,,
NZ_CP097881.1,163469,163681,cspA,minus,,
NZ_CP097881.1,163962,164252,yiaG,minus,,
NZ_CP097881.1,164686,165396,yiaF,plus,,
NZ_CP097881.1,165446,166420,ghrB,minus,,
NZ_CP097881.1,166524,167183,yiaD,minus,,
NZ_CP097881.1,167336,169669,bisC,plus,,
NZ_CP097881.1,169638,170078,yiaC,minus,,
NZ_CP097881.1,170075,170638,tag,minus,,
NZ_CP097881.1,170796,171494,yhjY,plus,,
NZ_CP097881.1,171723,172931,yhjX,plus,,
NZ_CP097881.1,173255,174946,eptB,plus,,
NZ_CP097881.1,175038,175114,,plus,,
NZ_CP097881.1,175149,175282,,plus,,
NZ_CP097881.1,176025,177632,dppA,plus,,
NZ_CP097881.1,177940,178959,dppB,plus,,
NZ_CP097881.1,178969,179871,dppC,plus,,
NZ_CP097881.1,179882,180865,dppD,plus,,
NZ_CP097881.1,180862,181866,dppF,plus,,
NZ_CP097881.1,181896,183167,yhjV,minus,,
NZ_CP097881.1,183643,183750,ldrD,plus,,
NZ_CP097881.1,183837,185516,bcsG,minus,,
NZ_CP097881.1,185513,185704,bcsF,minus,,
NZ_CP097881.1,185701,187272,bcsE,minus,,
NZ_CP097881.1,187545,187733,bcsR,plus,,
NZ_CP097881.1,187769,188497,bcsQ,plus,,
NZ_CP097881.1,188494,191112,bcsA,plus,,
NZ_CP097881.1,191123,193462,bcsB,plus,,
NZ_CP097881.1,193469,194575,bcsZ,plus,,
NZ_CP097881.1,194557,198030,bcsC,plus,,
NZ_CP097881.1,198112,200100,hmsP,plus,,
NZ_CP097881.1,200283,201569,dctA,plus,,
NZ_CP097881.1,201790,203286,yhjJ,plus,,
NZ_CP097881.1,203382,204311,kdgK,minus,,
NZ_CP097881.1,204543,205310,pdeH,plus,,
NZ_CP097881.1,205380,207440,yhjG,plus,,
NZ_CP097881.1,207622,208944,yhjE,minus,,
NZ_CP097881.1,209355,210368,yhjD,minus,,
NZ_CP097881.1,210417,211316,rcdB,minus,,
NZ_CP097881.1,211836,212438,yhjB,plus,,
NZ_CP097881.1,212489,214138,treF,minus,,
NZ_CP097881.1,214542,215939,ccp,plus,,
NZ_CP097881.1,216150,217550,gadA,plus,,
NZ_CP097881.1,217920,218744,gadX,plus,,
NZ_CP097881.1,219112,219840,gadW,plus,,
NZ_CP097881.1,220203,223316,mdtF,minus,,
NZ_CP097881.1,223341,224450,mdtE,minus,,
NZ_CP097881.1,224558,224836,,plus,,
NZ_CP097881.1,224837,225364,gadE,minus,,
NZ_CP097881.1,226163,226735,hdeD,minus,,
NZ_CP097881.1,226990,227322,hdeA,plus,,
NZ_CP097881.1,227438,227764,hdeB,plus,,
NZ_CP097881.1,227828,228475,yhiD,plus,,
NZ_CP097881.1,228517,229047,dctR,minus,,
NZ_CP097881.1,229203,229769,slp,minus,,
NZ_CP097881.1,230124,230502,,minus,,
NZ_CP097881.1,230568,231548,,plus,,
NZ_CP097881.1,231693,232439,,minus,,
NZ_CP097881.1,233068,233493,arsC,minus,,
NZ_CP097881.1,233506,234795,arsB,minus,,
NZ_CP097881.1,234849,235202,arsR,minus,,
NZ_CP097881.1,235942,236025,dinQ,plus,,
NZ_CP097881.1,236079,237431,gorA,minus,,
NZ_CP097881.1,237503,238345,rlmJ,minus,,
NZ_CP097881.1,238548,240590,prlC,plus,,
NZ_CP097881.1,240598,241350,rsmJ,plus,,
NZ_CP097881.1,241399,242868,dtpB,minus,,
NZ_CP097881.1,243034,243087,,plus,,
NZ_CP097881.1,243065,243118,,plus,,
NZ_CP097881.1,243185,243619,uspA,minus,,
NZ_CP097881.1,244010,244345,uspB,plus,,
NZ_CP097881.1,244589,246088,pitA,minus,,
NZ_CP097881.1,246320,247522,yhiN,plus,,
NZ_CP097881.1,247837,248889,yhiM,minus,,
NZ_CP097881.1,249272,250878,,plus,,
NZ_CP097881.1,251140,252762,,plus,,
NZ_CP097881.1,252952,253065,yhiY,plus,,
NZ_CP097881.1,253128,254195,yhiI,plus,,
NZ_CP097881.1,254192,256927,rbbA,plus,,
NZ_CP097881.1,256927,258051,yhhJ,plus,,
NZ_CP097881.1,258216,259352,yhhI,minus,,
NZ_CP097881.1,259493,259843,,minus,,
NZ_CP097881.1,259948,260331,yhhH,minus,,
NZ_CP097881.1,260303,264538,rhsB,minus,,
NZ_CP097881.1,264741,265142,nikR,minus,,
NZ_CP097881.1,265148,265954,nikE,minus,,
NZ_CP097881.1,265951,266715,nikD,minus,,
NZ_CP097881.1,266715,267548,nikC,minus,,
NZ_CP097881.1,267545,268489,nikB,minus,,
NZ_CP097881.1,268489,270063,nikA,minus,,
NZ_CP097881.1,270174,270761,acpT,minus,,
NZ_CP097881.1,270816,271865,yhhT,minus,,
NZ_CP097881.1,271997,273214,yhhS,plus,,
NZ_CP097881.1,273218,273775,dcrB,minus,,
NZ_CP097881.1,273848,274513,yhhQ,minus,,
NZ_CP097881.1,274734,274979,tusA,plus,,
NZ_CP097881.1,275081,277279,zntA,minus,,
NZ_CP097881.1,277353,277979,yhhN,minus,,
NZ_CP097881.1,278120,278479,yhhM,plus,,
NZ_CP097881.1,278482,278751,yhhL,minus,,
NZ_CP097881.1,278741,279337,rsmD,minus,,
NZ_CP097881.1,279487,280980,ftsY,plus,,
NZ_CP097881.1,280983,281651,ftsE,plus,,
NZ_CP097881.1,281644,282702,ftsX,plus,,
NZ_CP097881.1,282947,283801,rpoH,plus,,
NZ_CP097881.1,284072,285175,livJ,plus,,
NZ_CP097881.1,285363,285746,panM,minus,,
NZ_CP097881.1,286170,287279,livK,plus,,
NZ_CP097881.1,287327,288253,livH,plus,,
NZ_CP097881.1,288250,289527,livM,plus,,
NZ_CP097881.1,289524,290291,livG,plus,,
NZ_CP097881.1,290293,291006,livF,plus,,
NZ_CP097881.1,291405,292721,ugpB,plus,,
NZ_CP097881.1,292819,293706,ugpA,plus,,
NZ_CP097881.1,293703,294548,ugpE,plus,,
NZ_CP097881.1,294550,295620,ugpC,plus,,
NZ_CP097881.1,295617,296360,ugpQ,plus,,
NZ_CP097881.1,296347,296787,yhhA,minus,,
NZ_CP097881.1,296907,298649,ggt,plus,,
NZ_CP097881.1,298687,298971,yrhB,minus,,
NZ_CP097881.1,299171,299326,yrhD,minus,,
NZ_CP097881.1,299550,300247,,minus,,
NZ_CP097881.1,300276,300692,,minus,,
NZ_CP097881.1,300689,301867,tssD,minus,,
NZ_CP097881.1,302104,302592,yhhY,minus,,
NZ_CP097881.1,302925,303962,yhhX,plus,,
NZ_CP097881.1,304085,304780,yhhW,plus,,
NZ_CP097881.1,305004,305999,gntR,plus,,
NZ_CP097881.1,306138,306665,gntK,plus,,
NZ_CP097881.1,306669,308009,gntU,plus,,
NZ_CP097881.1,308066,308659,yhgN,minus,,
NZ_CP097881.1,308852,309955,asd,plus,,
NZ_CP097881.1,310228,312414,glgB,plus,,
NZ_CP097881.1,312411,314384,glgX,plus,,
NZ_CP097881.1,314402,315697,glgC,plus,,
NZ_CP097881.1,315697,317130,glgA,plus,,
NZ_CP097881.1,317149,319596,glgP,plus,,
NZ_CP097881.1,319722,319943,yzgL,plus,,
NZ_CP097881.1,320212,321717,glpD,minus,,
NZ_CP097881.1,321907,322233,glpE,plus,,
NZ_CP097881.1,322278,323108,glpG,plus,,
NZ_CP097881.1,323125,323883,,plus,,
NZ_CP097881.1,323865,325463,rtcR,minus,,
NZ_CP097881.1,325652,326878,rtcB,plus,,
NZ_CP097881.1,326882,327898,rtcA,plus,,
NZ_CP097881.1,327941,330646,malT,minus,,
NZ_CP097881.1,331258,333651,malP,plus,,
NZ_CP097881.1,333661,335745,malQ,plus,,
NZ_CP097881.1,335856,337172,gntT,minus,,
NZ_CP097881.1,337532,338107,nfuA,minus,,
NZ_CP097881.1,338166,338849,gntX,minus,,
NZ_CP097881.1,338887,339657,bioH,plus,,
NZ_CP097881.1,339686,340564,rpnA,minus,,
NZ_CP097881.1,340767,341003,feoC,minus,,
NZ_CP097881.1,341003,343324,feoB,minus,,
NZ_CP097881.1,343341,343568,feoA,minus,,
NZ_CP097881.1,344025,346346,yhgF,minus,,
NZ_CP097881.1,346443,346919,greB,minus,,
NZ_CP097881.1,347147,347866,ompR,plus,,
NZ_CP097881.1,347863,349215,envZ,plus,,
NZ_CP097881.1,349291,350913,pckA,minus,,
NZ_CP097881.1,351292,353016,yhgE,plus,,
NZ_CP097881.1,353079,353957,hslO,minus,,
NZ_CP097881.1,353982,354383,hslR,minus,,
NZ_CP097881.1,354394,355062,yrfG,minus,,
NZ_CP097881.1,355127,357262,igaA,minus,,
NZ_CP097881.1,357582,358142,nudE,plus,,
NZ_CP097881.1,358308,360860,mrcA,minus,,
NZ_CP097881.1,360980,361759,hofM,plus,,
NZ_CP097881.1,361759,362298,hofN,plus,,
NZ_CP097881.1,362282,362722,hofO,plus,,
NZ_CP097881.1,362712,363116,hofP,plus,,
NZ_CP097881.1,363028,364266,hofQ,plus,,
NZ_CP097881.1,364667,365188,aroK,plus,,
NZ_CP097881.1,365245,366333,aroB,plus,,
NZ_CP097881.1,366425,367711,damX,plus,,
NZ_CP097881.1,367818,368654,dam,plus,,
NZ_CP097881.1,368672,369349,rpe,plus,,
NZ_CP097881.1,369342,370100,gph,plus,,
NZ_CP097881.1,370093,371097,trpS,plus,,
NZ_CP097881.1,371387,372292,yhfZ,plus,,
NZ_CP097881.1,372309,372671,yhfY,plus,,
NZ_CP097881.1,372755,373918,yhfX,plus,,
NZ_CP097881.1,373918,375144,yhfW,plus,,
NZ_CP097881.1,375141,376019,php,plus,,
NZ_CP097881.1,376030,376383,yhfU,plus,,
NZ_CP097881.1,376395,377699,yhfT,plus,,
NZ_CP097881.1,377711,378796,yhfS,plus,,
NZ_CP097881.1,378948,379679,frlR,minus,,
NZ_CP097881.1,379779,380564,frlD,minus,,
NZ_CP097881.1,380561,381391,frlC,minus,,
NZ_CP097881.1,381441,382463,frlB,minus,,
NZ_CP097881.1,382484,383821,frlA,minus,,
NZ_CP097881.1,384116,384283,yhfL,minus,,
NZ_CP097881.1,384530,385903,cysG,minus,,
NZ_CP097881.1,385922,386728,nirC,minus,,
NZ_CP097881.1,386854,387180,nirD,minus,,
NZ_CP097881.1,387177,389720,nirB,minus,,
NZ_CP097881.1,389982,391163,tsgA,minus,,
NZ_CP097881.1,391434,392006,ppiA,plus,,
NZ_CP097881.1,392111,392278,yhfG,plus,,
NZ_CP097881.1,392268,392870,fic,plus,,
NZ_CP097881.1,392902,393465,pabA,plus,,
NZ_CP097881.1,393551,394771,argD,plus,,
NZ_CP097881.1,394838,396928,yhfK,minus,,
NZ_CP097881.1,396979,397611,crp,minus,,
NZ_CP097881.1,397913,398317,yhfA,plus,,
NZ_CP097881.1,398372,399241,prkB,minus,,
NZ_CP097881.1,399295,399513,yheU,minus,,
NZ_CP097881.1,399507,400529,yheT,minus,,
NZ_CP097881.1,400529,402442,yheS,minus,,
NZ_CP097881.1,402573,403124,kefG,plus,,
NZ_CP097881.1,403124,404929,kefB,plus,,
NZ_CP097881.1,404939,405139,yheV,plus,,
NZ_CP097881.1,405234,405824,slyD,plus,,
NZ_CP097881.1,405873,406091,slyX,minus,,
NZ_CP097881.1,406312,407124,fkpA,plus,,
NZ_CP097881.1,407291,408013,yheO,plus,,
NZ_CP097881.1,408013,408399,tusD,plus,,
NZ_CP097881.1,408399,408758,tusC,plus,,
NZ_CP097881.1,408766,409053,tusB,plus,,
NZ_CP097881.1,409179,409553,rpsL,plus,,
NZ_CP097881.1,409650,410117,rpsG,plus,,
NZ_CP097881.1,410217,412331,fusA,plus,,
NZ_CP097881.1,412402,413586,tuf,plus,,
NZ_CP097881.1,413878,416571,chiA,plus,,
NZ_CP097881.1,416740,416934,bfd,plus,,
NZ_CP097881.1,417006,417482,bfr,plus,,
NZ_CP097881.1,417511,418188,gspO,minus,,
NZ_CP097881.1,418188,418649,gspM,minus,,
NZ_CP097881.1,418646,419809,gspL,minus,,
NZ_CP097881.1,419824,420807,gspK,minus,,
NZ_CP097881.1,420800,421387,gspJ,minus,,
NZ_CP097881.1,421380,421757,gspI,minus,,
NZ_CP097881.1,421754,422263,gspH,minus,,
NZ_CP097881.1,422271,422708,gspG,minus,,
NZ_CP097881.1,422718,423914,gspF,minus,,
NZ_CP097881.1,423911,425392,gspE,minus,,
NZ_CP097881.1,425402,427354,gspD,minus,,
NZ_CP097881.1,427338,428153,gspC,minus,,
NZ_CP097881.1,428333,429802,gspA,plus,,
NZ_CP097881.1,429804,430223,gspB,plus,,
NZ_CP097881.1,430461,430772,rpsJ,plus,,
NZ_CP097881.1,430805,431434,rplC,plus,,
NZ_CP097881.1,431445,432050,rplD,plus,,
NZ_CP097881.1,432047,432349,rplW,plus,,
NZ_CP097881.1,432367,433188,rplB,plus,,
NZ_CP097881.1,433205,433483,rpsS,plus,,
NZ_CP097881.1,433498,433830,rplV,plus,,
NZ_CP097881.1,433848,434549,rpsC,plus,,
NZ_CP097881.1,434562,434972,rplP,plus,,
NZ_CP097881.1,434972,435163,rpmC,plus,,
NZ_CP097881.1,435163,435417,rpsQ,plus,,
NZ_CP097881.1,435582,435953,rplN,plus,,
NZ_CP097881.1,435964,436278,rplX,plus,,
NZ_CP097881.1,436293,436832,rplE,plus,,
NZ_CP097881.1,436847,437152,rpsN,plus,,
NZ_CP097881.1,437186,437578,rpsH,plus,,
NZ_CP097881.1,437591,438124,rplF,plus,,
NZ_CP097881.1,438134,438487,rplR,plus,,
NZ_CP097881.1,438502,439005,rpsE,plus,,
NZ_CP097881.1,439009,439188,rpmD,plus,,
NZ_CP097881.1,439192,439626,rplO,plus,,
NZ_CP097881.1,439634,440965,secY,plus,,
NZ_CP097881.1,440997,441113,rpmJ,plus,,
NZ_CP097881.1,441260,441616,rpsM,plus,,
NZ_CP097881.1,441633,442022,rpsK,plus,,
NZ_CP097881.1,442056,442676,rpsD,plus,,
NZ_CP097881.1,442702,443691,rpoA,plus,,
NZ_CP097881.1,443732,444115,rplQ,plus,,
NZ_CP097881.1,444222,444590,yhdN,plus,,
NZ_CP097881.1,444601,445026,zntR,plus,,
NZ_CP097881.1,445082,445300,arfA,plus,,
NZ_CP097881.1,445297,445707,mscL,minus,,
NZ_CP097881.1,445837,447213,trkA,minus,,
NZ_CP097881.1,447235,448524,rsmB,minus,,
NZ_CP097881.1,448570,449517,fmt,minus,,
NZ_CP097881.1,449532,450041,def,minus,,
NZ_CP097881.1,450171,451295,dprA,plus,,
NZ_CP097881.1,451267,451740,smg,plus,,
NZ_CP097881.1,451769,452311,yrdD,plus,,
NZ_CP097881.1,452316,452888,tsaC,plus,,
NZ_CP097881.1,452893,453711,aroE,plus,,
NZ_CP097881.1,453708,453965,yrdB,plus,,
NZ_CP097881.1,453941,454495,yrdA,minus,,
NZ_CP097881.1,454969,456510,,plus,,
NZ_CP097881.1,456579,456655,,plus,,
NZ_CP097881.1,456698,456773,,plus,,
NZ_CP097881.1,456948,459851,,plus,,
NZ_CP097881.1,459946,460061,rrf,plus,,
NZ_CP097881.1,460076,460151,,plus,,
NZ_CP097881.1,460191,460306,rrf,plus,,
NZ_CP097881.1,460537,461295,yhdZ,minus,,
NZ_CP097881.1,461303,462406,yhdY,minus,,
NZ_CP097881.1,462416,463597,yhdX,minus,,
NZ_CP097881.1,463665,464689,,minus,,
NZ_CP097881.1,465120,465341,,minus,,
NZ_CP097881.1,465594,468698,acrF,minus,,
NZ_CP097881.1,468710,469867,acrE,minus,,
NZ_CP097881.1,470266,470928,acrS,plus,,
NZ_CP097881.1,470931,471110,yhdU,minus,,
NZ_CP097881.1,471194,472078,yhdJ,minus,,
NZ_CP097881.1,472164,472460,fis,minus,,
NZ_CP097881.1,472486,473451,dusB,minus,,
NZ_CP097881.1,473780,474661,prmA,minus,,
NZ_CP097881.1,474673,476124,panF,minus,,
NZ_CP097881.1,476114,476356,yhdT,minus,,
NZ_CP097881.1,476465,477814,accC,minus,,
NZ_CP097881.1,477825,478295,accB,minus,,
NZ_CP097881.1,479273,480247,yhdH,minus,,
NZ_CP097881.1,480399,482339,csrD,plus,,
NZ_CP097881.1,482644,483687,mreB,plus,,
NZ_CP097881.1,483753,484856,mreC,plus,,
NZ_CP097881.1,484856,485344,mreD,plus,,
NZ_CP097881.1,485353,485946,yhdE,plus,,
NZ_CP097881.1,485936,487405,rng,plus,,
NZ_CP097881.1,487473,491273,yhdP,plus,,
NZ_CP097881.1,491703,493148,tldD,plus,,
NZ_CP097881.1,493282,494211,aaeR,minus,,
NZ_CP097881.1,494394,494597,aaeX,plus,,
NZ_CP097881.1,494605,495537,aaeA,plus,,
NZ_CP097881.1,495543,497510,aaeB,plus,,
NZ_CP097881.1,497602,497874,yhcO,plus,,
NZ_CP097881.1,497930,498193,yhcN,minus,,
NZ_CP097881.1,498558,499028,argR,minus,,
NZ_CP097881.1,499463,500401,mdh,plus,,
NZ_CP097881.1,500464,501531,degS,minus,,
NZ_CP097881.1,501621,502988,degQ,minus,,
NZ_CP097881.1,503142,503540,zapG,minus,,
NZ_CP097881.1,503734,504861,zapE,plus,,
NZ_CP097881.1,505080,505508,rplM,plus,,
NZ_CP097881.1,505524,505916,rpsI,plus,,
NZ_CP097881.1,506311,506949,sspA,plus,,
NZ_CP097881.1,506955,507452,sspB,plus,,
NZ_CP097881.1,507495,508862,dcuC,minus,,
NZ_CP097881.1,509242,510033,nanR,plus,,
NZ_CP097881.1,510155,511048,nanA,plus,,
NZ_CP097881.1,511157,512647,nanT,plus,,
NZ_CP097881.1,512695,513384,nanE,plus,,
NZ_CP097881.1,513381,514256,nanK,plus,,
NZ_CP097881.1,514253,514717,nanQ,plus,,
NZ_CP097881.1,514777,515904,yhcG,minus,,
NZ_CP097881.1,516089,516805,yhcF,minus,,
NZ_CP097881.1,516802,516981,,minus,,
NZ_CP097881.1,517049,518029,,plus,,
NZ_CP097881.1,518163,518546,,minus,,
NZ_CP097881.1,518543,520924,yhcD,minus,,
NZ_CP097881.1,520945,521619,yhcA,minus,,
NZ_CP097881.1,521791,522555,gltF,minus,,
NZ_CP097881.1,523115,524533,gltD,minus,,
NZ_CP097881.1,524546,529006,gltB,minus,,
NZ_CP097881.1,529681,530610,yhcC,plus,,
NZ_CP097881.1,530706,533042,arcB,plus,,
NZ_CP097881.1,533272,533925,elbB,plus,,
NZ_CP097881.1,533922,534650,mtgA,plus,,
NZ_CP097881.1,534647,535279,yrbL,minus,,
NZ_CP097881.1,535493,535765,npr,minus,,
NZ_CP097881.1,535762,536616,rapZ,minus,,
NZ_CP097881.1,536662,537153,ptsN,minus,,
NZ_CP097881.1,537271,537558,hpf,minus,,
NZ_CP097881.1,537581,539014,rpoN,minus,,
NZ_CP097881.1,539062,539787,lptB,minus,,
NZ_CP097881.1,539794,540351,lptA,minus,,
NZ_CP097881.1,540320,540895,lptC,minus,,
NZ_CP097881.1,540892,541458,kdsC,minus,,
NZ_CP097881.1,541479,542465,kdsD,minus,,
NZ_CP097881.1,542479,543456,yrbG,minus,,
NZ_CP097881.1,543666,544475,mlaF,plus,,
NZ_CP097881.1,544483,545265,mlaE,plus,,
NZ_CP097881.1,545270,545821,mlaD,plus,,
NZ_CP097881.1,545840,546475,mlaC,plus,,
NZ_CP097881.1,546475,546768,mlaB,plus,,
NZ_CP097881.1,546928,547182,ibaG,plus,,
NZ_CP097881.1,547237,548496,murA,plus,,
NZ_CP097881.1,548544,548822,sfsB,minus,,
